id,project_id,project_name,project_desc,user_id,deadline,project_category,imgUrl
"1,1,""Tutoring Game Mobile Legends"",""Membantu pemain Mobile Legends meningkatkan skill dan rank"",1,2023-12-25T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"2,2,""Joki Akun Mobile Legends"",""Membantu pemain Mobile Legends menaikkan rank dengan akun yang disediakan"",1,2023-12-30T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"3,3,""Ginding Hero Mobile Legends"",""Membantu pemain Mobile Legends mendapatkan hero-hero yang diinginkan"",1,2023-01-05T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"4,4,""Tutoring Game Dota 2"",""Membantu pemain Dota 2 meningkatkan skill dan rank"",2,2023-12-25T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"5,5,""Joki Akun Dota 2"",""Membantu pemain Dota 2 menaikkan rank dengan akun yang disediakan"",2,2023-12-30T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"6,6,""Ginding Hero Dota 2"",""Membantu pemain Dota 2 mendapatkan hero-hero yang diinginkan"",2,2023-01-05T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"7,7,""Tutoring Game Genshin Impact"",""Membantu pemain Genshin Impact meningkatkan skill dan menyelesaikan misi"",3,2023-12-25T00:00:00Z,""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"8,8,""Joki Akun Genshin Impact"",""Membantu pemain Genshin Impact mendapatkan item-item langka"",3,2023-12-30T00:00:00Z,""RPG"",""https://i.imgur.com/1815742.jpg"""
"9,9,""Ginding Adventure Rank Genshin Impact"",""Membantu pemain Genshin Impact meningkatkan Adventure Rank"",3,2023-01-05T00:00:00Z,""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"10,10,""Tutoring Game Call of Duty: Mobile"",""Membantu pemain Call of Duty: Mobile meningkatkan keterampilan dan rank"",4,""2023-12-25T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"11,11,""Boosting Rank PUBG Mobile"",""Meningkatkan rank pemain PUBG Mobile dengan cepat"",4,""2023-12-30T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/5y377j3.jpg"""
"12,12,""Escape Room Puzzle Services"",""Menyediakan bantuan dan solusi untuk pemain yang kesulitan dalam puzzle games"",5,""2023-01-05T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"13,13,""In-Game Soccer Coaching"",""Memberikan pelatihan dan strategi dalam permainan sepak bola virtual"",6,""2023-12-25T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"14,14,""Horror Game Companion"",""Menemani pemain selama bermain game horor untuk meningkatkan pengalaman"",7,""2023-12-30T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"15,15,""Open World Exploration Guide"",""Memandu pemain dalam menjelajahi dunia terbuka game mereka"",8,""2023-01-05T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
"16,16,""Chess Grandmaster Tutoring"",""Tutor catur untuk membantu pemain mencapai tingkat keahlian Grandmaster"",9,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"17,17,""Speedrun Assistance Service"",""Membantu pemain menyelesaikan event story game Honkai Impact"",10,""2023-12-30T00:00:00Z"",""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"18,18,""Virtual Adventure Tour Guide"",""Menyediakan tur virtual untuk pemain game petualangan"",11,""2023-01-05T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"19,19,""Racing Game Pro Driver"",""Pelatih pengemudi profesional untuk game balap"",12,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"20,20,""Mystery Game Detective"",""Memberikan petunjuk dan solusi untuk pemain game misteri"",13,""2023-12-30T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"21,21,""Tutoring Game Apex Legends"",""Membantu pemain Apex Legends meningkatkan keterampilan dan rank"",14,""2023-12-25T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"22,22,""Joki Akun Apex Legends"",""Membantu pemain Apex Legends menaikkan rank dengan akun yang disediakan"",14,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"23,23,""Ginding Weapon Apex Legends"",""Membantu pemain Apex Legends mendapatkan senjata-senjata yang diinginkan"",14,""2023-01-05T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"24,24,""Tutoring Game Fortnite"",""Membantu pemain Fortnite meningkatkan keterampilan dan rank"",15,""2023-12-25T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"25,25,""Joki Akun Fortnite"",""Membantu pemain Fortnite menaikkan rank dengan akun yang disediakan"",15,""2023-12-30T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/5y377j3.jpg"""
"26,26,""Ginding Skins Fortnite"",""Membantu pemain Fortnite mendapatkan skins yang diinginkan"",15,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"27,27,""Tutoring Game Minecraft"",""Membantu pemain Minecraft meningkatkan keterampilan dan progres"",16,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
"28,28,""Creative Building Services"",""Memberikan bantuan dalam membangun struktur kreatif di Minecraft"",16,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"29,29,""Virtual Fitness Coach in Ring Fit Adventure"",""Berkolaborasi untuk mencapai tujuan kebugaran dalam game Ring Fit Adventure"",17,""2023-01-05T00:00:00Z"",""Adventure"",""https://i.imgur.com/5y377j3.jpg"""
"30,30,""Tutoring Game Valorant"",""Membantu pemain Valorant meningkatkan keterampilan dan rank"",18,""2023-12-25T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"31,31,""Joki Akun Valorant"",""Membantu pemain Valorant menaikkan rank dengan akun yang disediakan"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"32,32,""Grinding Skins Valorant"",""Membantu pemain Valorant mendapatkan skins yang diinginkan"",18,""2023-01-05T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"33,33,""Tutoring Game The Witcher 3"",""Membantu pemain The Witcher 3 meningkatkan keterampilan dan menyelesaikan misi"",19,""2023-12-25T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"34,34,""Monster Hunter Expedition Guide"",""Memberikan panduan dalam mengeksplorasi dunia Monster Hunter"",20,""2023-12-30T00:00:00Z"",""RPG"",""https://i.imgur.com/1815742.jpg"""
"35,35,""Epic Sports Challenges"",""Menawarkan tantangan olahraga epik dalam game"",21,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"36,36,""Puzzle Solver for The Witness"",""Memberikan solusi untuk teka-teki sulit dalam The Witness"",22,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"37,37,""FPS Aim Training Program"",""Program pelatihan untuk meningkatkan ketepatan tembakan dalam game FPS"",23,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"38,38,""Battle Royale Strategy Consultation"",""Konsultasi strategi untuk game Battle Royale"",24,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"39,39,""Virtual Dungeon Master for D&D"",""Memandu pemain dalam sesi permainan Dungeons & Dragons virtual"",25,""2023-12-25T00:00:00Z"",""Adventure"",""https://i.imgur.com/5y377j3.jpg"""
"40,40,""Co-op Exploration in No Man's Sky"",""Berkolaborasi dalam menjelajahi galaksi No Man's Sky"",26,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"41,41,""Mystery Puzzle Adventure"",""Menyediakan petunjuk dan solusi untuk game dengan teka-teki misteri"",13,""2023-01-05T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"42,42,""Epic Racing Challenges"",""Menawarkan tantangan balap epik dalam game"",27,""2023-12-25T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"43,43,""VR Horror Experience Guide"",""Memandu pemain dalam pengalaman horor virtual reality"",28,""2023-12-30T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"44,44,""Open World Photography Tour"",""Menyediakan tur fotografi virtual dalam dunia terbuka game"",29,""2023-01-05T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"45,45,""Chess Tactics Masterclass"",""Pelatihan taktik catur untuk pemain yang ingin meningkatkan kemampuan"",16,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"46,46,""Mobile Esports Coaching"",""Bimbingan dalam menjadi atlet esports di platform mobile"",30,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"47,47,""Survival Horror Gameplay Companion"",""Menemani pemain selama bermain game survival horror untuk meningkatkan pengalaman"",7,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"48,48,""Open World Treasure Hunt Services"",""Menyediakan pemandu untuk menjelajahi dunia terbuka dan menemukan harta"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"49,49,""FPS Sniper Training Program"",""Program pelatihan khusus untuk meningkatkan keahlian sniping dalam game FPS"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"50,50,""Battle Royale Squad Strategy Workshop"",""Workshop strategi untuk meningkatkan kerjasama tim dalam game Battle Royale"",24,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"51,51,""RPG Character Building Consultation"",""Konsultasi pembangunan karakter untuk pemain RPG"",3,""2023-12-25T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"52,52,""Mobile Sports Workout Partner"",""Menjadi mitra latihan olahraga mobile untuk mencapai kebugaran optimal"",21,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"53,53,""Psychological Horror Game Exploration"",""Menyediakan dukungan psikologis selama eksplorasi dalam game horor"",7,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"54,54,""Open World Cultural Tour Guide"",""Menyajikan tur budaya virtual dalam dunia terbuka game"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"55,55,""Puzzle-solving Escapade"",""Berkolaborasi dalam menyelesaikan petualangan teka-teki yang menantang"",22,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"56,56,""Extreme Sports Challenges in VR"",""Menawarkan tantangan olahraga ekstrem melalui pengalaman virtual reality"",27,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"57,57,""Supernatural Horror Game Companion"",""Menemani pemain selama bermain game horor supranatural untuk pengalaman yang intens"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"58,58,""Deep Sea Exploration in Open World Games"",""Memandu pemain dalam menjelajahi dunia bawah laut dalam game terbuka"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"59,59,""FPS Tactical Mission Planning"",""Bantuan dalam merencanakan misi taktis untuk pemain game FPS"",18,""2023-01-05T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"60,60,""Battle Royale Loot Optimization Services"",""Optimalkan pengambilan loot dalam game Battle Royale untuk kemenangan lebih mudah"",24,""2023-12-25T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"61,61,""Virtual Fitness Coach in Ring Fit Adventure"",""Berkolaborasi untuk mencapai tujuan kebugaran dalam game Ring Fit Adventure"",17,""2023-12-25T00:00:00Z"",""Adventure"",""https://i.imgur.com/5y377j3.jpg"""
"62,62,""Creative Building Services"",""Memberikan bantuan dalam membangun struktur kreatif di Minecraft"",16,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"63,3,""In-Game Soccer Coaching"",""Memberikan pelatihan dan strategi dalam permainan sepak bola virtual"",6,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"64,64,""Epic Racing Challenges"",""Menawarkan tantangan balap epik dalam game"",12,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"65,65,""Chess Grandmaster Tutoring"",""Tutor catur untuk membantu pemain mencapai tingkat keahlian Grandmaster"",9,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"66,66,""Mystery Game Detective"",""Memberikan petunjuk dan solusi untuk pemain game misteri"",13,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"67,67,""Speedrun Assistance Service"",""Membantu pemain menyelesaikan event story game Honkai Impact"",10,""2023-12-25T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"68,68,""Virtual Adventure Tour Guide"",""Menyediakan tur virtual untuk pemain game petualangan"",11,""2023-12-30T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"69,69,""Racing Game Pro Driver"",""Pelatih pengemudi profesional untuk game balap"",12,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"70,70,""Escape Room Puzzle Services"",""Menyediakan bantuan dan solusi untuk pemain yang kesulitan dalam puzzle games"",5,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"71,71,""RPG Character Building Consultation"",""Konsultasi pembangunan karakter untuk pemain RPG"",3,""2023-12-25T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"72,72,""Mobile Sports Workout Partner"",""Menjadi mitra latihan olahraga mobile untuk mencapai kebugaran optimal"",21,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"73,73,""Psychological Horror Game Exploration"",""Menyediakan dukungan psikologis selama eksplorasi dalam game horor"",7,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"74,74,""Open World Cultural Tour Guide"",""Menyajikan tur budaya virtual dalam dunia terbuka game"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"75,75,""Puzzle-solving Escapade"",""Berkolaborasi dalam menyelesaikan petualangan teka-teki yang menantang"",22,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"76,76,""Extreme Sports Challenges in VR"",""Menawarkan tantangan olahraga ekstrem melalui pengalaman virtual reality"",27,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"77,77,""Supernatural Horror Game Companion"",""Menemani pemain selama bermain game horor supranatural untuk pengalaman yang intens"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"78,78,""Deep Sea Exploration in Open World Games"",""Memandu pemain dalam menjelajahi dunia bawah laut dalam game terbuka"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"79,79,""FPS Tactical Mission Planning"",""Bantuan dalam merencanakan misi taktis untuk pemain game FPS"",18,""2023-01-05T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"80,80,""Battle Royale Loot Optimization Services"",""Optimalkan pengambilan loot dalam game Battle Royale untuk kemenangan lebih mudah"",24,""2023-12-25T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"81,81,""Virtual Pet Training in RPG"",""Melatih dan mengembangkan hewan peliharaan virtual dalam game RPG"",3,""2023-12-25T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"82,82,""Mobile Cricket Coaching"",""Memberikan pelatihan dan strategi dalam permainan kriket virtual di platform mobile"",21,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"83,83,""Haunted House Horror Game Guide"",""Panduan untuk menavigasi dan bertahan hidup dalam game horor rumah berhantu"",7,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"84,84,""Archaeological Expedition in Open World Games"",""Memandu pemain dalam mengeksplorasi situs arkeologi di dunia terbuka game"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"85,85,""Mind-bending Puzzle Challenges"",""Menyajikan tantangan teka-teki yang membutuhkan pemikiran kreatif dan analisis"",22,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"86,86,""Winter Sports Simulation"",""Berkolaborasi dalam menghadapi tantangan olahraga musim dingin melalui simulasi"",27,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"87,87,""Survival Horror Game Strategy Session"",""Konsultasi strategi untuk bertahan hidup dalam game horor bertema survival"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"88,88,""Underwater Exploration in Open World Games"",""Memandu pemain dalam menjelajahi dunia bawah laut di game terbuka"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"89,89,""Sniper Tactics Masterclass in FPS"",""Pelatihan khusus untuk meningkatkan keahlian sniping dalam game FPS"",18,""2023-01-05T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"90,90,""Battle Royale Building Workshop"",""Workshop untuk meningkatkan keterampilan membangun dalam game Battle Royale"",24,""2023-12-25T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"91,91,""Virtual Dance Coaching in RPG"",""Memberikan pelatihan tari dan koreografi untuk karakter dalam game RPG"",3,""2023-12-30T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"92,92,""E-sports Team Strategy Consultation"",""Konsultasi strategi untuk tim e-sports dalam berbagai game"",30,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"93,93,""Zombie Apocalypse Survival Guide"",""Panduan bertahan hidup dan strategi dalam menghadapi zombie apocalypse di game"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"94,94,""High-speed Racing Challenges"",""Menawarkan tantangan balap dengan kecepatan tinggi dalam berbagai game"",12,""2023-12-30T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"95,95,""Chess Opening Mastery"",""Tutoring untuk membantu pemain memahami dan menguasai pembukaan catur"",9,""2023-01-05T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"96,96,""Mysterious Adventure Quests"",""Menyajikan petualangan misterius dengan berbagai quest dan teka-teki"",11,""2023-12-25T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"97,97,""Football Manager Simulation"",""Berkolaborasi dalam mengelola dan memimpin klub sepak bola melalui simulasi"",6,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"98,98,""VR Haunted Maze Exploration"",""Memandu pemain dalam menjelajahi labirin berhantu dalam pengalaman virtual reality"",28,""2023-01-05T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"99,99,""Open World Music Festival Tour"",""Menyediakan tur virtual dalam festival musik di dunia terbuka game"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https"
"100,100,""FPS Sniper Showdown Event"",""Event kompetisi sniping dalam game FPS untuk penghargaan besar"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"101,101,""Epic BattleRoyal Tournament Coaching"",""Memberikan pelatihan dan strategi untuk turnamen Battle Royale yang intens"",24,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/1815742.jpg"""
"102,102,""Mystery Puzzle Treasure Hunt"",""Petualangan mencari harta dengan teka-teki misteri yang menantang"",13,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"103,103,""Open World Survival Training"",""Pelatihan bertahan hidup dan eksplorasi dalam dunia terbuka game"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/1815742.jpg"""
"104,104,""Virtual Sports Championship Coaching"",""Bimbingan untuk mempersiapkan pemain dalam kejuaraan olahraga virtual"",21,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"105,105,""Horror Movie Night in Virtual Reality"",""Menyajikan pengalaman menonton film horor dalam virtual reality"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"106,106,""FPS Elite Squad Training"",""Pelatihan intensif untuk membentuk squad elit dalam game FPS"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"107,107,""Adventure Quest Writing Service"",""Menyediakan layanan penulisan quest dan cerita untuk petualangan game"",11,""2023-01-05T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"108,108,""Chess Endgame Tactics Mastery"",""Tutoring khusus untuk membantu pemain memahami taktik akhir permainan catur"",9,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"109,109,""Virtual Archery Training"",""Pelatihan memanah virtual untuk meningkatkan keterampilan dan presisi"",21,""2023-12-30T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"110,110,""RPG Dungeon Design Consultation"",""Konsultasi desain dungeon untuk pemain yang ingin membuat konten RPG"",3,""2023-01-05T00:00:00Z"",""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"111,111,""Moba Team Coordination Workshop"",""Workshop untuk meningkatkan koordinasi tim dalam game Moba"",1,""2023-12-25T00:00:00Z"",""Moba"",""https://i.imgur.com/1815742.jpg"""
"112,112,""Open World Culinary Exploration"",""Memandu pemain dalam menjelajahi resep dan kuliner dalam dunia terbuka game"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
"113,113,""Sports Strategy Analysis"",""Analisis strategi untuk permainan olahraga virtual seperti sepak bola dan kriket"",21,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"114,114,""Horror VR Escape Room Experience"",""Pengalaman escape room horor dalam virtual reality untuk ketegangan maksimal"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/5y377j3.jpg"""
"115,115,""FPS Weapon Skin Design Service"",""Layanan desain skin senjata khusus untuk game FPS"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"116,116,""Battle Royale Loot Drop Analysis"",""Analisis loot drop untuk mengoptimalkan perolehan item dalam game Battle Royale"",24,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/5y377j3.jpg"""
"117,117,""Adventure Novel Ghostwriting"",""Penulisan novel petualangan untuk pemain yang ingin mengabadikan cerita game"",11,""2023-12-25T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"118,118,""Puzzle Board Game Development"",""Bantuan dalam merancang dan mengembangkan permainan papan teka-teki"",22,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"119,119,""Virtual Reality Sports Tournament"",""Mengorganisir turnamen olahraga virtual dengan pengalaman virtual reality"",21,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"120,120,""Sci-Fi FPS Campaign Consultation"",""Konsultasi untuk merancang kampanye fiksi ilmiah dalam game FPS"",18,""2023-12-25T00:00:00Z"",""FPS"",""https://i.imgur.com/5y377j3.jpg"""
"121,121,""RPG Guild Management Services"",""Membantu pemain RPG dalam manajemen dan pengembangan guild"",3,""2023-12-30T00:00:00Z"",""RPG"",""https://i.imgur.com/1815742.jpg"""
"122,122,""Moba Tournament Analysis"",""Analisis pertandingan turnamen Moba untuk strategi dan perbaikan"",1,""2023-01-05T00:00:00Z"",""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"123,123,""Horror Game VR Streaming"",""Streaming permainan horor dalam virtual reality untuk pengalaman menegangkan"",7,""2023-12-25T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"124,124,""Open World Wildlife Photography Tour"",""Tur fotografi satwa liar dalam dunia terbuka game"",8,""2023-12-30T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
"125,125,""Sports Injury Prevention Program"",""Program pencegahan cedera olahraga virtual untuk atlet eSports"",21,""2023-01-05T00:00:00Z"",""Sports"",""https://i.imgur.com/1815742.jpg"""
"126,126,""Puzzle Board Game Night Organizer"",""Mengorganisir acara malam permainan papan teka-teki untuk penggemar"",22,""2023-12-25T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"127,127,""FPS Sniper Elite Challenge"",""Tantangan khusus untuk pemain sniping elite dalam game FPS"",18,""2023-12-30T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"128,128,""Battle Royale Fashion Show"",""Fashion show khusus untuk skin dan pakaian dalam game Battle Royale"",24,""2023-01-05T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/5y377j3.jpg"""
"129,129,""Adventure Book Club"",""Klub buku petualangan untuk membahas cerita dan quest dalam game"",11,""2023-12-25T00:00:00Z"",""Adventure"",""https://i.imgur.com/1815742.jpg"""
"130,130,""Chess Strategy Workshop"",""Workshop strategi catur untuk pemain yang ingin meningkatkan keahlian"",9,""2023-12-30T00:00:00Z"",""Puzzle"",""https://i.imgur.com/5y377j3.jpg"""
"131,131,""Moba Hero Design Consultation"",""Konsultasi desain hero untuk pemain yang ingin menciptakan karakter Moba"",1,""2023-01-05T00:00:00Z"",""Moba"",""https://i.imgur.com/1815742.jpg"""
"132,132,""Open World Historical Exploration"",""Memandu pemain dalam menjelajahi dunia terbuka dengan setting sejarah"",8,""2023-12-25T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
